id	sample
GSM3443369	E4.5.5.5_new_Plate1_A02
GSM3443370	E4.5.5.5_new_Plate1_A03
GSM3443371	E4.5.5.5_new_Plate1_A04
GSM3443372	E4.5.5.5_new_Plate1_A05
GSM3443373	E4.5.5.5_new_Plate1_A07
GSM3443374	E4.5.5.5_new_Plate1_A08
GSM3443375	E4.5.5.5_new_Plate1_A09
GSM3443376	E4.5.5.5_new_Plate1_A11
GSM3443377	E4.5.5.5_new_Plate1_A12
GSM3443378	E4.5.5.5_new_Plate1_B01
GSM3443379	E4.5.5.5_new_Plate1_B02
GSM3443380	E4.5.5.5_new_Plate1_B07
GSM3443381	E4.5.5.5_new_Plate1_B08
GSM3443382	E4.5.5.5_new_Plate1_B11
GSM3443383	E4.5.5.5_new_Plate1_B12
GSM3443384	E4.5.5.5_new_Plate1_C02
GSM3443385	E4.5.5.5_new_Plate1_C03
GSM3443386	E4.5.5.5_new_Plate1_C05
GSM3443387	E4.5.5.5_new_Plate1_C08
GSM3443388	E4.5.5.5_new_Plate1_C09
GSM3443389	E4.5.5.5_new_Plate1_C11
GSM3443390	E4.5.5.5_new_Plate1_D03
GSM3443391	E4.5.5.5_new_Plate1_D05
GSM3443392	E4.5.5.5_new_Plate1_D11
GSM3443393	E4.5.5.5_new_Plate1_E02
GSM3443394	E4.5.5.5_new_Plate1_E03
GSM3443395	E4.5.5.5_new_Plate1_E05
GSM3443396	E4.5.5.5_new_Plate1_E08
GSM3443397	E4.5.5.5_new_Plate1_E09
GSM3443398	E4.5.5.5_new_Plate1_E11
GSM3443399	E4.5.5.5_new_Plate1_F03
GSM3443400	E4.5.5.5_new_Plate1_G03
GSM3443401	E4.5.5.5_new_Plate1_G07
GSM3443402	E4.5.5.5_new_Plate1_G08
GSM3443403	E4.5.5.5_new_Plate1_G09
GSM3443404	E4.5.5.5_new_Plate1_H02
GSM3443405	E4.5.5.5_new_Plate1_H08
GSM3443406	E4.5.5.5_new_Plate1_H09
GSM3443407	E4.5.5.5_new_Plate2_A01
GSM3443408	E4.5.5.5_new_Plate2_A02
GSM3443409	E4.5.5.5_new_Plate2_A03
GSM3443410	E4.5.5.5_new_Plate2_A04
GSM3443411	E4.5.5.5_new_Plate2_A05
GSM3443412	E4.5.5.5_new_Plate2_A06
GSM3443413	E4.5.5.5_new_Plate2_A07
GSM3443415	E4.5.5.5_new_Plate2_A09
GSM3443420	E4.5.5.5_new_Plate2_B02
GSM3443421	E4.5.5.5_new_Plate2_B03
GSM3443422	E4.5.5.5_new_Plate2_B04
GSM3443423	E4.5.5.5_new_Plate2_B05
GSM3443428	E4.5.5.5_new_Plate2_B10
GSM3443429	E4.5.5.5_new_Plate2_B11
GSM3443430	E4.5.5.5_new_Plate2_B12
GSM3443431	E4.5.5.5_new_Plate2_C01
GSM3443434	E4.5.5.5_new_Plate2_C04
GSM3443435	E4.5.5.5_new_Plate2_C05
GSM3443436	E4.5.5.5_new_Plate2_C06
GSM3443440	E4.5.5.5_new_Plate2_C10
GSM3443441	E4.5.5.5_new_Plate2_C11
