ENSMUSG00000000194	Gpr107
ENSMUSG00000000275	Trim25
ENSMUSG00000000308	Ckmt1
ENSMUSG00000000365	Rnf17
ENSMUSG00000000486	Septin1
ENSMUSG00000000531	Grasp
ENSMUSG00000000544	Gpa33
ENSMUSG00000000594	Gm2a
ENSMUSG00000000730	Dnmt3l
ENSMUSG00000000731	Aire
ENSMUSG00000000901	Mmp11
ENSMUSG00000001053	N4bp3
ENSMUSG00000001128	Cfp
ENSMUSG00000001588	Acap1
ENSMUSG00000001827	Folr1
ENSMUSG00000002076	Hsf2bp
ENSMUSG00000002104	Rapsn
ENSMUSG00000002147	Stat6
ENSMUSG00000002204	Napsa
ENSMUSG00000002227	Mov10
ENSMUSG00000002228	Ppm1j
ENSMUSG00000002289	Angptl4
ENSMUSG00000002504	Slc9a3r2
ENSMUSG00000002847	Pla1a
ENSMUSG00000002980	Bcam
ENSMUSG00000002983	Relb
ENSMUSG00000003032	Klf4
ENSMUSG00000003051	Elf3
ENSMUSG00000003283	Hck
ENSMUSG00000003363	Pld3
ENSMUSG00000003657	Calb2
ENSMUSG00000003809	Gcdh
ENSMUSG00000003849	Nqo1
ENSMUSG00000004040	Stat3
ENSMUSG00000005148	Klf5
ENSMUSG00000005397	Nid1
ENSMUSG00000005672	Kit
ENSMUSG00000005892	Trh
ENSMUSG00000006056	Calcoco2
ENSMUSG00000006219	Fblim1
ENSMUSG00000006342	Susd2
ENSMUSG00000006930	Hap1
ENSMUSG00000007379	Dennd2c
ENSMUSG00000008575	Nfib
ENSMUSG00000010342	Tex14
ENSMUSG00000010830	Kdelr3
ENSMUSG00000011256	Adam19
ENSMUSG00000011267	Zfp296
ENSMUSG00000012126	Ubxn11
ENSMUSG00000013275	Slc41a1
ENSMUSG00000013766	Ly6g6e
ENSMUSG00000014245	Pigl
ENSMUSG00000014932	Yes1
ENSMUSG00000015354	Pcolce2
ENSMUSG00000015711	Prune1
ENSMUSG00000017307	Acot8
ENSMUSG00000017550	Atad5
ENSMUSG00000017756	Slc12a7
ENSMUSG00000017774	Myo1c
ENSMUSG00000018340	Anxa6
ENSMUSG00000018411	Mapt
ENSMUSG00000018604	Tbx3
ENSMUSG00000018678	Sp2
ENSMUSG00000018727	Cpsf4l
ENSMUSG00000018774	Cd68
ENSMUSG00000019518	Ap4m1
ENSMUSG00000019558	Slc6a8
ENSMUSG00000019842	Traf3ip2
ENSMUSG00000019891	Dcbld1
ENSMUSG00000019947	Arid5b
ENSMUSG00000020173	Cobl
