ENSMUSG00000000282	Mnt
ENSMUSG00000000730	Dnmt3l
ENSMUSG00000000753	Serpinf1
ENSMUSG00000000805	Car4
ENSMUSG00000000861	Bcl11a
ENSMUSG00000001240	Ramp2
ENSMUSG00000001249	Hpn
ENSMUSG00000001288	Rarg
ENSMUSG00000001349	Cnn1
ENSMUSG00000001507	Itga3
ENSMUSG00000001555	Fkbp10
ENSMUSG00000001700	Gramd3
ENSMUSG00000002006	Pdzd4
ENSMUSG00000002147	Stat6
ENSMUSG00000002289	Angptl4
ENSMUSG00000002343	Armc6
ENSMUSG00000002413	Braf
ENSMUSG00000002625	Akap8l
ENSMUSG00000002963	Pnkp
ENSMUSG00000002997	Prkar2b
ENSMUSG00000003309	Ap1m2
ENSMUSG00000003352	Cacnb3
ENSMUSG00000003518	Dusp3
ENSMUSG00000004113	Cacna1b
ENSMUSG00000004864	Mapk13
ENSMUSG00000004885	Crabp2
ENSMUSG00000004961	Syt5
ENSMUSG00000005374	Tbl2
ENSMUSG00000006143	Upk3bl
ENSMUSG00000006435	Neurl1a
ENSMUSG00000006576	Slc4a3
ENSMUSG00000006587	Snai3
ENSMUSG00000006649	Nphs1
ENSMUSG00000006850	Tmco6
ENSMUSG00000007038	Neu1
ENSMUSG00000007080	Pole
ENSMUSG00000007594	Hapln4
ENSMUSG00000007603	Dus3l
ENSMUSG00000007888	Crlf1
ENSMUSG00000008496	Pou2f2
ENSMUSG00000008601	Rab25
ENSMUSG00000009092	Derl3
ENSMUSG00000009687	Fxyd5
ENSMUSG00000009905	Kdsr
ENSMUSG00000011589	Fsd1
ENSMUSG00000014602	Kif1a
ENSMUSG00000015202	Cnksr3
ENSMUSG00000015542	Nat9
ENSMUSG00000016458	Wt1
ENSMUSG00000016552	Foxred2
ENSMUSG00000017639	Rab11fip4
ENSMUSG00000017943	Gdap1l1
ENSMUSG00000018569	Cldn7
ENSMUSG00000018909	Arrb1
ENSMUSG00000019214	Chtf18
ENSMUSG00000019235	Rps6kl1
ENSMUSG00000019312	Grb7
ENSMUSG00000019467	Arhgef25
ENSMUSG00000019647	Sema6a
ENSMUSG00000019894	Slc6a15
ENSMUSG00000019982	Myb
ENSMUSG00000020059	Sycp3
ENSMUSG00000020381	Mrnip
ENSMUSG00000020396	Nefh
ENSMUSG00000020469	Myl7
ENSMUSG00000021098	4930447C04Rik
ENSMUSG00000021418	Rpp40
ENSMUSG00000021453	Gadd45g
ENSMUSG00000021466	Ptch1
ENSMUSG00000021550	2210016F16Rik
ENSMUSG00000021646	Mccc2
ENSMUSG00000021758	Ddx4
ENSMUSG00000022090	Pdlim2
ENSMUSG00000022102	Dok2
ENSMUSG00000022208	Jph4
ENSMUSG00000022263	Trio
ENSMUSG00000022286	Grhl2
ENSMUSG00000022359	Wdyhv1
ENSMUSG00000022419	Deptor
ENSMUSG00000022422	Dscc1
ENSMUSG00000022425	Enpp2
ENSMUSG00000022456	Septin3
ENSMUSG00000022464	Slc38a4
ENSMUSG00000022554	Hgh1
ENSMUSG00000022610	Mapk12
ENSMUSG00000022656	Nectin3
ENSMUSG00000022683	Pla2g10
ENSMUSG00000022763	Aifm3
ENSMUSG00000022892	App
ENSMUSG00000023905	Tnfrsf12a
ENSMUSG00000023927	Satb1
ENSMUSG00000024013	Fgd2
ENSMUSG00000024033	Rsph1
ENSMUSG00000024056	Ndc80
ENSMUSG00000024082	Ndufaf7
ENSMUSG00000024352	Spata24
