ENSMUSG00000000125	Wnt3
ENSMUSG00000000184	Ccnd2
ENSMUSG00000000305	Cdh4
ENSMUSG00000000420	Galnt1
ENSMUSG00000000552	Zfp385a
ENSMUSG00000000605	Clcn4
ENSMUSG00000000792	Slc5a5
ENSMUSG00000000957	Mmp14
ENSMUSG00000001025	S100a6
ENSMUSG00000001098	Kctd10
ENSMUSG00000001300	Efnb2
ENSMUSG00000001504	Irx2
ENSMUSG00000001542	Ell2
ENSMUSG00000001729	Akt1
ENSMUSG00000001761	Smo
ENSMUSG00000001763	Tspan33
ENSMUSG00000001864	Aif1l
ENSMUSG00000002603	Tgfb1
ENSMUSG00000002881	Nab1
ENSMUSG00000002900	Lamb1
ENSMUSG00000003070	Efna2
ENSMUSG00000003436	Dll3
ENSMUSG00000003948	Mmd
ENSMUSG00000003992	Ssbp2
ENSMUSG00000004032	Gstm5
ENSMUSG00000004054	Map3k11
ENSMUSG00000004085	Map3k20
ENSMUSG00000004151	Etv1
ENSMUSG00000004317	Clcn5
ENSMUSG00000004328	Hif3a
ENSMUSG00000004631	Sgce
ENSMUSG00000004891	Nes
ENSMUSG00000005225	Plekha8
ENSMUSG00000005251	Ripk4
ENSMUSG00000006235	Epor
ENSMUSG00000006390	Elovl1
ENSMUSG00000007613	Tgfbr1
ENSMUSG00000007817	Zmiz1
ENSMUSG00000007950	Abhd8
ENSMUSG00000008305	Tle1
ENSMUSG00000008763	Man1a2
ENSMUSG00000008999	Bmp7
ENSMUSG00000009293	Ube2g2
ENSMUSG00000012282	Wnt8a
ENSMUSG00000013076	Amotl1
ENSMUSG00000013698	Pea15a
ENSMUSG00000014776	Nol3
ENSMUSG00000015488	Cacfd1
ENSMUSG00000015745	Plekho1
ENSMUSG00000015843	Rxrg
ENSMUSG00000016382	Pls3
ENSMUSG00000016528	Mapkapk2
ENSMUSG00000016918	Sulf1
ENSMUSG00000017466	Timp2
ENSMUSG00000017485	Top2b
ENSMUSG00000017493	Igfbp4
ENSMUSG00000017652	Cd40
ENSMUSG00000018169	Mfng
ENSMUSG00000018398	Septin8
ENSMUSG00000018451	6330403K07Rik
ENSMUSG00000018474	Chd3
ENSMUSG00000018698	Lhx1
ENSMUSG00000018845	Unc45b
ENSMUSG00000019124	Scrn1
ENSMUSG00000019528	Gyg
ENSMUSG00000019564	Arid3a
ENSMUSG00000019734	Tmc4
ENSMUSG00000019775	Rgs17
ENSMUSG00000019802	Sec63
ENSMUSG00000019851	Perp
ENSMUSG00000019853	Hebp2
ENSMUSG00000019874	Fabp7
ENSMUSG00000019880	Rspo3
ENSMUSG00000019883	Echdc1
ENSMUSG00000020097	Sgpl1
ENSMUSG00000020230	Prmt2
ENSMUSG00000020280	Pus10
ENSMUSG00000020388	Pdlim4
ENSMUSG00000020423	Btg2
ENSMUSG00000020427	Igfbp3
ENSMUSG00000020520	Galnt10
ENSMUSG00000020601	Trib2
ENSMUSG00000020642	Rnf144a
ENSMUSG00000020674	Pxdn
ENSMUSG00000020793	Galr2
ENSMUSG00000020814	Mxra7
ENSMUSG00000020821	Kif1c
ENSMUSG00000020841	Cpd
ENSMUSG00000020846	Rflnb
ENSMUSG00000021061	Sptb
ENSMUSG00000021067	Sav1
