ENSMUSG00000000365	Rnf17
ENSMUSG00000000409	Lck
ENSMUSG00000000486	Septin1
ENSMUSG00000000544	Gpa33
ENSMUSG00000000708	Kat2b
ENSMUSG00000001270	Ckb
ENSMUSG00000001542	Ell2
ENSMUSG00000001604	Tcea3
ENSMUSG00000001827	Folr1
ENSMUSG00000001985	Grik3
ENSMUSG00000002006	Pdzd4
ENSMUSG00000002076	Hsf2bp
ENSMUSG00000002227	Mov10
ENSMUSG00000002797	Ggct
ENSMUSG00000002847	Pla1a
ENSMUSG00000003051	Elf3
ENSMUSG00000003812	Dnase2a
ENSMUSG00000004038	Gstm3
ENSMUSG00000004266	Ptpn6
ENSMUSG00000004319	Clcn3
ENSMUSG00000004446	Bid
ENSMUSG00000004864	Mapk13
ENSMUSG00000004961	Syt5
ENSMUSG00000005148	Klf5
ENSMUSG00000005360	Slc1a3
ENSMUSG00000005370	Msh6
ENSMUSG00000005672	Kit
ENSMUSG00000005892	Trh
ENSMUSG00000006056	Calcoco2
ENSMUSG00000006218	Fam131c
ENSMUSG00000006494	Pdk1
ENSMUSG00000006651	Aplp1
ENSMUSG00000007379	Dennd2c
ENSMUSG00000008305	Tle1
ENSMUSG00000008489	Elavl2
ENSMUSG00000008601	Rab25
ENSMUSG00000009585	Apobec3
ENSMUSG00000010362	Rdm1
ENSMUSG00000010538	Tsacc
ENSMUSG00000011267	Zfp296
ENSMUSG00000012396	Nanog
ENSMUSG00000013089	Etv5
ENSMUSG00000014245	Pigl
ENSMUSG00000015094	Npdc1
ENSMUSG00000015354	Pcolce2
ENSMUSG00000016382	Pls3
ENSMUSG00000016526	Dyrk3
ENSMUSG00000016918	Sulf1
ENSMUSG00000017009	Sdc4
ENSMUSG00000017764	Zswim1
ENSMUSG00000018166	Erbb3
ENSMUSG00000018415	Gid4
ENSMUSG00000018428	Akap1
ENSMUSG00000018509	Cenpv
ENSMUSG00000018727	Cpsf4l
ENSMUSG00000018809	Smyd4
ENSMUSG00000019256	Ahr
ENSMUSG00000019312	Grb7
ENSMUSG00000019947	Arid5b
ENSMUSG00000019996	Map7
ENSMUSG00000020027	Socs2
ENSMUSG00000020059	Sycp3
ENSMUSG00000020063	Sirt1
ENSMUSG00000020083	Fam241b
ENSMUSG00000020108	Ddit4
ENSMUSG00000020173	Cobl
ENSMUSG00000020228	Helb
ENSMUSG00000020407	Upp1
ENSMUSG00000020424	Castor1
ENSMUSG00000020464	Pnpt1
ENSMUSG00000020541	Tom1l1
ENSMUSG00000020634	Ubxn2a
ENSMUSG00000020743	Mif4gd
ENSMUSG00000020812	Snhg16
ENSMUSG00000020910	Adprm
ENSMUSG00000021023	Prorp
ENSMUSG00000021196	Pfkp
ENSMUSG00000021255	Esrrb
ENSMUSG00000021314	Amph
ENSMUSG00000021392	Nol8
ENSMUSG00000021457	Syk
ENSMUSG00000021591	Glrx
ENSMUSG00000021665	Hexb
ENSMUSG00000021752	Kctd6
ENSMUSG00000021767	Kat6b
ENSMUSG00000021773	Comtd1
ENSMUSG00000021953	Tdh
ENSMUSG00000022034	Esco2
ENSMUSG00000022040	Ephx2
ENSMUSG00000022094	Slc39a14
ENSMUSG00000022105	Rb1
ENSMUSG00000022114	Spry2
ENSMUSG00000022272	Myo10
ENSMUSG00000022304	Dpys
ENSMUSG00000022394	L3mbtl2
ENSMUSG00000022419	Deptor
ENSMUSG00000022652	Morc1
ENSMUSG00000022658	Tagln3
ENSMUSG00000022679	Mpv17l
ENSMUSG00000022682	Rrn3
ENSMUSG00000022683	Pla2g10
ENSMUSG00000022788	Fgd4
ENSMUSG00000022849	Hspbap1
ENSMUSG00000022900	Ildr1
ENSMUSG00000022906	Parp9
ENSMUSG00000023022	Lima1
ENSMUSG00000023072	Cep89
ENSMUSG00000023094	Msrb2
ENSMUSG00000023243	Kcnk5
ENSMUSG00000023942	Slc29a1
ENSMUSG00000023982	Guca1a
ENSMUSG00000024030	Abcg1
ENSMUSG00000024158	Hagh
ENSMUSG00000024180	Tmem8
ENSMUSG00000024376	Epb41l4a
ENSMUSG00000024422	Dhx16
ENSMUSG00000024456	Diaph1
ENSMUSG00000024642	Tle4
ENSMUSG00000024791	Cdca5
ENSMUSG00000024827	Gldc
ENSMUSG00000024837	Dmrt1
ENSMUSG00000025056	Nr0b1
ENSMUSG00000025227	Mfsd13a
ENSMUSG00000025265	Fgd1
ENSMUSG00000025466	Fuom
ENSMUSG00000025509	Pnpla2
ENSMUSG00000025764	Jade1
ENSMUSG00000025937	Lactb2
ENSMUSG00000026039	Sgo2a
ENSMUSG00000026082	Rev1
ENSMUSG00000026202	Tuba4a
ENSMUSG00000026380	Tfcp2l1
ENSMUSG00000026398	Nr5a2
ENSMUSG00000026429	Ube2t
ENSMUSG00000026456	Cyb5r1
ENSMUSG00000026576	Atp1b1
ENSMUSG00000026622	Nek2
ENSMUSG00000026788	Zbtb43
ENSMUSG00000026831	1700007K13Rik
ENSMUSG00000027227	Sord
ENSMUSG00000027242	Wdr76
ENSMUSG00000027244	Atg13
ENSMUSG00000027498	Cstf1
ENSMUSG00000027536	Chmp4c
ENSMUSG00000027702	Lrrc34
ENSMUSG00000027722	Spata5
ENSMUSG00000027860	Vangl1
ENSMUSG00000027993	Trim2
ENSMUSG00000028093	Acp6
ENSMUSG00000028152	Tspan5
ENSMUSG00000028164	Manba
ENSMUSG00000028167	Bdh2
ENSMUSG00000028211	Trp53inp1
ENSMUSG00000028391	Wdr31
ENSMUSG00000028392	Bspry
ENSMUSG00000028412	Slc44a1
ENSMUSG00000028420	Tmem38b
ENSMUSG00000028488	Sh3gl2
ENSMUSG00000028572	Hook1
ENSMUSG00000028583	Pdpn
ENSMUSG00000028640	Tfap2c
ENSMUSG00000028654	Mycl
