chr	start	end	width	s	gene
chr1	10876384	10880670	4287	*	A830018L16Rik
chr1	13052292	13052611	320	*	Prdm14
chr1	13072837	13083752	10916	*	Prdm14
chr1	13072837	13083752	10916	*	Sulf1
chr1	13103448	13114743	11296	*	Prdm14
chr1	36611180	36613725	2546	*	Fam178b
chr1	52937397	52937828	432	*	1700019D03Rik
chr1	71643045	71648836	5792	*	Mreg
chr1	72182140	72185183	3044	*	Mreg
chr1	72203969	72207786	3818	*	Mreg
chr1	75123959	75125795	1837	*	Tuba4a
chr1	75227654	75228090	437	*	Tuba4a
chr1	86180365	86183413	3049	*	B3gnt7
chr1	86184924	86190107	5184	*	B3gnt7
chr1	86308059	86315351	7293	*	B3gnt7
chr1	118642404	118653078	10675	*	Tfcp2l1
chr1	131143756	131149180	5425	*	Dyrk3
chr1	134344820	134345710	891	*	Cyb5r1
chr1	135185446	135200720	15275	*	Elf3
chr1	136565235	136571848	6614	*	Platr22
chr1	136565235	136571848	6614	*	Nr5a2
chr1	136687395	136692210	4816	*	Platr22
chr1	136705305	136708539	3235	*	Platr22
chr1	136726278	136729947	3670	*	Platr22
chr1	136939441	136942104	2664	*	Nr5a2
chr1	136972229	136974514	2286	*	Nr5a2
chr1	137003491	137004103	613	*	Nr5a2
chr1	164372323	164378880	6558	*	Atp1b1
chr1	164453008	164454355	1348	*	Atp1b1
chr1	164481338	164483726	2389	*	Atp1b1
chr1	164488613	164496848	8236	*	Atp1b1
chr1	171441534	171443327	1794	*	F11r
chr1	179568375	179570465	2091	*	Smyd3
chr1	180910543	180915904	5362	*	Lefty1
chr1	180920324	180931021	10698	*	Lefty1
chr1	191931530	191931700	171	*	Nek2
chr1	191943603	191949066	5464	*	Nek2
chr10	18329264	18330224	961	*	Ccdc28a
chr10	20226401	20229341	2941	*	Map7
chr10	44324678	44326800	2123	*	Prdm1
chr10	44453554	44454687	1134	*	Prdm1
chr10	44498927	44543088	44162	*	Prdm1
chr10	62884014	62888014	4001	*	Tet1
chr10	62903118	62903519	402	*	Tet1
chr10	63271590	63271741	152	*	Sirt1
chr10	63346477	63349852	3376	*	Sirt1
chr10	63365802	63367758	1957	*	Sirt1
chr10	68133849	68149932	16084	*	Arid5b
chr10	68156062	68158918	2857	*	Arid5b
chr10	68179021	68181734	2714	*	Arid5b
chr10	68236218	68241035	4818	*	Arid5b
chr10	68282925	68283086	162	*	Arid5b
chr10	81278013	81287267	9255	*	Tjp3
chr10	81361490	81361816	327	*	Tjp3
chr10	81553483	81555493	2011	*	Tjp3
chr10	88491557	88492022	466	*	Chpt1
chr10	88512409	88515996	3588	*	Chpt1
chr10	88547154	88547514	361	*	Chpt1
chr10	95111888	95113973	2086	*	Socs2
chr10	95115599	95117927	2329	*	Socs2
chr10	95173180	95177520	4341	*	Socs2
chr10	95217686	95223726	6041	*	Socs2
chr10	95261730	95263512	1783	*	Socs2
chr10	95299981	95304798	4818	*	Socs2
chr10	95308930	95316359	7430	*	Socs2
chr10	95452973	95458402	5430	*	Socs2
chr10	128600455	128608199	7745	*	Erbb3
chr11	4859807	4864399	4593	*	Nipsnap1
chr11	8565713	8591567	25855	*	Upp1
chr11	8633457	8640864	7408	*	Upp1
chr11	60291474	60298824	7351	*	Gid4
chr11	60421745	60424910	3166	*	Gid4
chr11	60431627	60445529	13903	*	Gid4
chr11	62427478	62432655	5178	*	Pigl
chr11	62427478	62432655	5178	*	Cenpv
chr11	62491830	62503467	11638	*	Cenpv
chr11	62491830	62503467	11638	*	Pigl
chr11	62507109	62514919	7811	*	Cenpv
chr11	62507109	62514919	7811	*	Pigl
chr11	62517712	62518740	1029	*	Cenpv
chr11	66919087	66924192	5106	*	Adprm
chr11	67041883	67044893	3011	*	Adprm
chr11	69564205	69568013	3809	*	Sox15
chr11	69702996	69716415	13420	*	Sox15
chr11	88377094	88382284	5191	*	Akap1
chr11	88841276	88845879	4604	*	Akap1
chr11	88897219	88898640	1422	*	Akap1
chr11	88930471	88943087	12617	*	Akap1
chr11	88948115	88951465	3351	*	Akap1
chr11	89003375	89012458	9084	*	Akap1
chr11	97655522	97656327	806	*	Mllt6
chr11	101616672	101621236	4565	*	Rdm1
chr11	103402701	103408687	5987	*	Plekhm1
chr11	113733274	113735794	2521	*	Cpsf4l
chr11	115716404	115717848	1445	*	Mif4gd
chr12	73082381	73091600	9220	*	Six4
chr12	73094955	73097987	3033	*	Six4
chr12	76537559	76542183	4625	*	Plekhg3
chr12	76544858	76559785	14928	*	Plekhg3
chr12	76883278	76887894	4617	*	Fntb
chr12	84026963	84031395	4433	*	Acot1
chr12	86489055	86508577	19523	*	Esrrb
chr12	110416641	110420034	3394	*	Mok
chr12	110700395	110718373	17979	*	Mok
chr12	111659878	111668338	8461	*	Ckb
chr13	6634625	6640254	5630	*	Pfkp
