chr	start	end	enhancer	ATAC_ESC	ATAC_EpiLC	ATAC_EpiSC	H3K4me1_ESC	H3K4me1_EpiLC	H3K4me1_EpiSC	H3K4me2_ESC	H3K4me2_EpiLC	H3K4me2_EpiSC	H3K4me3_ESC	H3K4me3_EpiLC	H3K4me3_EpiSC	H3K9me2_ESC	H3K9me2_EpiLC	H3K9me2_EpiSC	H3K9me3_ESC	H3K9me3_EpiLC	H3K9me3_EpiSC	H3K27me2_ESC	H3K27me2_EpiLC	H3K27me2_EpiSC	H3K27me3_ESC	H3K27me3_EpiLC	H3K27me3_EpiSC	mCpG_ESC	mCpG_EpiLC	mCpG_EpiSC	H3K27ac_ESC	H3K27ac_EpiLC	H3K27ac_EpiSC
chr1	59422558	59424010	EpiLC_enhancer	26.865	13.2485	14.595	11.4975	15.82	11.255	15.995	12.56	16.18	5.5165	3.0645	3.4565	0.4201	0.4156	1.0059	0.75425	1.24745	1.54225	0.72095	0.9115	2.1695	0.52145	0.31145	1.2565	0.56545	37.895	28.38	29.745	23.835	14.725
chr1	59426358	59426865	EpiLC_enhancer	11.7105	7.6535	12.85	9.5695	9.897	6.504	8.97	6.3865	7.356	2.48	1.20165	0.9831	0.1985	0.43725	0.5005	0.5399	1.206	0.6166	0.4044	0.1759	0.9516	0.3686	0.212375	0.55245	4.0975	56.47	57.28	13.05	14.049	9.3225
chr1	59437648	59438633	EpiLC_enhancer	1.5967	6.286	3.2755	1.841	10.7695	6.942	0.7988	3.7245	3.314	0.41175	0.78355	0.6182	0.52335	0.73225	0.825	0.2067	0.7279	0.6462	1.8405	1.00135	1.743	1.748	0.29885	0.66295	50.49	75.885	90.595	0.4477	11.83	4.5895
chr1	59472051	59473728	EpiLC_enhancer	20.9545	8.8435	11.5005	10.675	14.725	10.3125	14.975	15.27	18.635	6.853	4.892	5.6255	0.2706	0.2825	0.6639	0.3462	0.60655	0.80705	0.88725	0.8157	1.6035	0.68985	0.71965	1.0113	0.3738	32.59	51.025	23.42	20.115	12.225
chr1	59487098	59488286	EpiLC_enhancer	6.9675	9.4235	9.128	11.265	11.1235	11.425	13.175	14.88	21.305	6.699	5.7685	10.504	0.2051	0.22885	0.42625	0.35715	0.6165	0.5978	0.75415	0.38705	0.48375	0.2198	0.3854	0.2394	0.4356	21.86	35	12.3945	14.685	15.63
chr1	64087784	64088701	EpiLC_enhancer	6.4255	9.601	9.2135	4.752	13.1	11.775	4.8205	9.228	6.999	2.58285	2.0355	0.88815	0.6685	0.72845	0.91775	0.4174	0.5652	0.67855	1.95	0.58025	0.5799	0.7744	0.45855	0.36465	11.8	52.835	74.705	1.82395	13.78	6.073
chr1	64225782	64227058	EpiLC_enhancer	12.133	12.005	10.3265	8.6525	10.915	9.479	9.831	9.726	6.254	4.293	2.116	1.2015	0.6671	0.93205	1.2845	0.239075	0.55145	0.91805	1.38885	1.2505	2.174	0.4092	0.5348	1.01675	6.3235	44.1	69.72	6.228	13.595	4.878
chr1	65109741	65110955	EpiLC_enhancer	8.5085	7.4045	2.01015	5.1875	5.783	1.8345	9.606	7.79	0.8759	5.5985	3.54365	0.5224	0.6869	0.83255	1.7045	0.65495	0.8161	1.284	1.864	1.608	1.6725	2.144	2.2925	0.60405	8.9625	44.705	92.18	9.673	12.71	2.7335
chr1	86306312	86314254	EpiLC_enhancer	44.71	25.9465	18.452	13.425	17.0785	17.576	20.415	17.815	19.18	13.55	6.0675	6.093	0.2593	0.2783	0.4887	0.4856	1.34965	1.7677	0.4088	0.2431	0.76695	0.27865	0.25955	0.7138	0.044015	28.445	60.065	47.845	59.275	25.24
chr1	88994536	88997289	EpiLC_enhancer	2.3878	8.724	9.3415	3.5525	13.95	12.605	1.9535	9.653	9.6725	0.68335	1.56385	2.147	0.9303	0.63775	0.7425	0.32925	0.36725	0.8073	1.317	0.9641	1.0809	1.166	0.52065	0.42945	13.72	42.13	54	0.8295	26.86	13.185
