chr start end H3K4me1_EpiLC_rep1 H3K4me1_EpiSC_rep1 H3K4me1_EpiLC_rep2 H3K4me1_EpiSC_rep2 H3K4me1_EpiLC_rep3 H3K4me1_EpiSC_rep3 mCpG_EpiLC mCpG_EpiSC
chr15 25756909 25776428 20.045 20.93 15.625 8.4065 12.24 3.3575 53.49 93.905
chr16 22392796 22419039 17.325 8.4895 16.205 6.6555 11.751 3.5815 34.73 65.655
chr10 95261730 95263512 10.1215 10.131 8.84 6.2765 8.1365 4.6885 22.72 30.51
chr1 86308059 86315351 9.098 7.5585 7.76 6.69 5.0905 3.459 18.47 31.3525
chr2 164430420 164434713 21.9 20.91 12.28 7.908 10.942 3.843 40.14 67.535
chr4 125597944 125611567 10.144 2.408 7.081 5.4075 4.739 1.911 74.615 89.35
chr7 3197330 3214625 11.12 7.1075 7.9005 5.3145 5.8285 3.0205 23.0265 64.88
chr9 58264938 58281605 13.365 13.02 9.9835 5.721 7.4235 3.614 66.905 91.86
chr14 63498733 63504357 16.68 7.995 13.185 2.531 8.426 1.71015 57.9 75.435
chr3 34669242 34669394 10.3815 6.637 9.478 2.9125 9.4395 2.6695 68.58 61.375
chr6 122344561 122347339 11.133 7.526 11.148 6.278 6.6675 2.659 65.49 92.54
chr3 83978430 83982345 15.475 14.185 13.493 5.8965 9.231 3.9935 33.06 44.35
chr10 95308930 95316359 11.48 4.717 10.385 3.064 8.311 2.0905 66.55 96.725
chr7 80190840 80194440 13.64 11.4025 7.926 6.61 6.745 3.6735 30.265 35.26
chr16 22515479 22519877 17.12 13.44 15.205 7.3465 9.795 4.8045 42.9 41.775
chr9 48989384 48992959 13.75 6.436 10.7445 3.934 9.034 3.934 28.149 83.24
chr17 66477884 66486979 5.283 4.6855 4.7755 4.3955 3.115 2.21 77.045 86.185
chr9 78372177 78374725 10.772 3.9295 9.786 3.5025 7.9045 1.8175 56.08 92.57
chr15 81510725 81526143 11.72 12.165 9.961 8.0155 7.2335 2.7555 42.655 89.79
chr1 136726278 136729947 14.695 13.905 10.8165 5.2615 9.2 4.038 46.32 55.75
chr7 45558936 45561162 10.438 9.775 7.7175 4.9745 6.2135 2.086 49.39 81.17
chr11 69702996 69716415 15.975 15.405 12.205 6.816 7.904 4.1455 16.864 75.525
chr4 152100718 152108401 8.635 5.218 4.825 5.927 3.5915 1.474 91.4 93.085
chr6 67227904 67229763 13.825 13.01 9.151 8.6005 7.533 3.934 31.38 60.01
chr18 65586937 65589052 10.3615 6.976 7.316 5.158 7.1005 2.286 45.8 81.01
